N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
149,한국앤컴퍼니,"19,250",500,+2.67%,500,"17,906","93,020",8.64,"458,791",10.57,5.08,
150,영원무역,"40,300",150,+0.37%,500,"17,858","44,311",25.29,"41,264",12.09,8.03,
151,아이에스동서,"57,600",800,+1.41%,500,"17,794","30,893",5.35,"71,559",14.32,10.92,
152,효성첨단소재,"395,500","19,500",-4.70%,"5,000","17,718","4,480",10.53,"143,851","21,972.20",0.03,
153,프레스티지바이오파마,"29,450",850,-2.81%,0,"17,698","60,096",0.00,"441,832",N/A,N/A,
154,농심,"285,500","4,500",+1.60%,"5,000","17,366","6,083",16.22,"25,817",11.69,7.50,
155,KODEX 삼성그룹,"9,880",45,+0.46%,0,"17,211","174,200",0.03,"119,488",N/A,N/A,
156,녹십자홀딩스,"36,200",950,+2.70%,500,"17,024","47,028",5.21,"113,457",10.49,19.74,
157,코오롱인더,"60,100","2,600",-4.15%,"5,000","16,214","26,979",17.44,"397,966",8.79,9.70,
158,종근당,"138,000","1,000",+0.73%,"2,500","15,768","11,426",9.05,"74,374",17.21,17.88,
159,대웅제약,"133,000","4,500",+3.50%,"2,500","15,410","11,587",4.63,"50,695",120.80,2.38,
160,부광약품,"23,650",250,+1.07%,500,"15,334","64,838",5.12,"261,898",-234.16,-2.46,
161,롯데정밀화학,"57,000",400,-0.70%,"5,000","14,706","25,800",22.79,"50,520",7.40,12.65,
162,KODEX 200TR,"13,500",20,+0.15%,0,"14,681","108,750",0.09,"16,345",N/A,N/A,
163,신세계인터내셔날,"204,000","3,500",-1.69%,"5,000","14,566","7,140",3.46,"25,503",28.61,8.24,
164,LG생활건강우,"692,000","3,000",-0.43%,"5,000","14,530","2,100",84.09,"1,382",15.37,N/A,
165,KODEX MSCI Korea TR,"13,400",15,+0.11%,0,"14,365","107,200",0.00,"309,083",N/A,N/A,
166,NHN,"72,500",600,+0.83%,500,"14,185","19,565",11.02,"29,654",66.15,1.35,
167,솔루스첨단소재,"46,050",50,-0.11%,100,"14,087","30,590",5.73,"95,342",-165.05,-5.10,
168,DGB금융지주,"8,260",40,+0.49%,"5,000","13,971","169,146",48.56,"615,342",4.21,7.31,
169,DL,"90,100",200,+0.22%,"5,000","13,913","15,441",23.16,"153,727",6.89,11.84,
170,SK네트웍스,"5,570",10,-0.18%,"2,500","13,824","248,188",12.15,"544,137",40.07,1.63,
171,KG동부제철,"13,800",750,+5.75%,"5,000","13,801","100,009",0.19,"5,527,607",20.66,7.18,
172,KODEX 종합채권(AA-이상)액티브,"108,980",50,-0.05%,0,"13,601","12,480",0.00,"1,557",N/A,N/A,
173,솔루엠,"27,450",950,+3.58%,500,"13,476","49,092",0.13,"1,724,051",27.95,43.26,
174,한전KPS,"29,900",650,+2.22%,200,"13,455","45,000",9.79,"453,694",15.45,8.23,
175,한국콜마,"56,800",300,-0.53%,500,"12,997","22,881",29.09,"78,982",8.11,29.27,
176,KODEX 2차전지산업,"17,210",65,+0.38%,0,"12,839","74,600",0.06,"460,403",N/A,N/A,
177,롯데관광개발,"18,400",550,-2.90%,500,"12,747","69,276",4.63,"611,635",-15.55,-30.43,
178,동국제강,"13,300","1,100",+9.02%,"5,000","12,693","95,433",26.05,"3,780,868",19.50,3.35,
179,롯데리츠,"5,210",40,+0.77%,500,"12,659","242,969",9.68,"685,637",59.89,1.80,
180,동원시스템즈,"49,100",700,-1.41%,"5,000","12,579","25,619",1.46,"36,331",24.69,10.97,
181,롯데칠성,"140,000","13,000",+10.24%,500,"12,565","8,975",10.42,"120,850",-100.21,-1.00,
182,LG상사,"32,200","1,900",+6.27%,"5,000","12,481","38,760",26.16,"598,576",4.19,23.72,
183,더블유게임즈,"67,700","1,200",+1.80%,500,"12,440","18,375",12.92,"154,143",11.05,16.94,
184,JB금융지주,"6,280",0,0.00%,"5,000","12,371","196,983",40.19,"209,650",3.58,10.36,
185,코스맥스,"123,000","1,500",-1.20%,500,"12,361","10,050",23.83,"50,309",57.83,6.23,
186,KBSTAR 200,"42,090",80,+0.19%,0,"12,206","29,000",0.01,"112,453",N/A,N/A,
187,TIGER 단기통안채,"100,135",10,+0.01%,0,"12,155","12,139",0.97,"1,507",N/A,N/A,
188,다우기술,"26,750",150,-0.56%,500,"12,002","44,867",22.22,"98,112",N/A,14.62,
189,이노션,"59,800",200,-0.33%,500,"11,960","20,000",30.37,"22,048",18.84,8.28,
190,한미반도체,"24,150",50,+0.21%,200,"11,945","49,460",6.23,"262,658",25.03,21.03,
